"line","timestamp","sensor","ppm","secondary_unit","secondary_value"
"425","","O3_HD","0.2000","ug/m3","392.64"
"426","","SO2_HD","0.00","ug/m3","0.00"
"442","","CO_HD","0.00","mg/m3","0.00"
"443","","NO2_HD","0.50","ug/m3","0.94"
"444","","O3_HD","0.1000","ug/m3","196.32"
"445","","SO2_HD","0.00","ug/m3","0.00"
"461","","CO_HD","0.00","mg/m3","0.00"
"462","","NO2_HD","0.50","ug/m3","0.94"
"463","","O3_HD","0.1000","ug/m3","196.32"
"464","","SO2_HD","0.00","ug/m3","0.00"
"480","","CO_HD","0.00","mg/m3","0.00"
"481","","NO2_HD","0.50","ug/m3","0.94"
"482","","O3_HD","0.2000","ug/m3","392.64"
"483","","SO2_HD","0.00","ug/m3","0.00"
"499","","CO_HD","0.00","mg/m3","0.00"
"500","","NO2_HD","0.50","ug/m3","0.94"
"501","","O3_HD","0.2000","ug/m3","392.64"
"502","","SO2_HD","0.00","ug/m3","0.00"
"566","","CO_HD","0.00","mg/m3","0.00"
"567","","NO2_HD","0.50","ug/m3","0.94"
"568","","O3_HD","0.2000","ug/m3","392.64"
"569","","SO2_HD","0.10","ug/m3","0.26"
"586","","CO_HD","0.00","mg/m3","0.00"
"587","","NO2_HD","0.60","ug/m3","1.13"
"588","","O3_HD","0.2000","ug/m3","392.64"
"589","","SO2_HD","0.00","ug/m3","0.00"
"605","","CO_HD","0.00","mg/m3","0.00"
"606","","NO2_HD","0.50","ug/m3","0.94"
"607","","O3_HD","0.2000","ug/m3","392.64"
"608","","SO2_HD","0.00","ug/m3","0.00"
"624","","CO_HD","0.00","mg/m3","0.00"
"625","","NO2_HD","0.50","ug/m3","0.94"
"626","","O3_HD","0.2000","ug/m3","392.64"
"627","","SO2_HD","0.00","ug/m3","0.00"
"643","","CO_HD","2.00","mg/m3","2.33"
"644","","NO2_HD","0.60","ug/m3","1.13"
"645","","O3_HD","0.2000","ug/m3","392.64"
"646","","SO2_HD","0.10","ug/m3","0.26"
"663","","CO_HD","1.00","mg/m3","1.16"
"664","","NO2_HD","0.60","ug/m3","1.13"
"665","","O3_HD","0.2000","ug/m3","392.64"
"666","","SO2_HD","0.10","ug/m3","0.26"
"681","","CO_HD","0.00","mg/m3","0.00"
"682","","NO2_HD","0.60","ug/m3","1.13"
"683","","O3_HD","0.2000","ug/m3","392.64"
"684","","SO2_HD","0.00","ug/m3","0.00"
"700","","CO_HD","2.00","mg/m3","2.33"
"701","","NO2_HD","0.70","ug/m3","1.32"
"702","","O3_HD","0.2000","ug/m3","392.64"
"703","","SO2_HD","0.10","ug/m3","0.26"
"718","","CO_HD","2.00","mg/m3","2.33"
"719","","NO2_HD","0.60","ug/m3","1.13"
"720","","O3_HD","0.2000","ug/m3","392.64"
"721","","SO2_HD","0.20","ug/m3","0.52"
"737","","CO_HD","2.00","mg/m3","2.33"
"738","","NO2_HD","0.60","ug/m3","1.13"
"739","","O3_HD","0.2000","ug/m3","392.64"
"740","","SO2_HD","0.30","ug/m3","0.79"
"770","","CO_HD","3.00","mg/m3","3.49"
"771","","NO2_HD","0.70","ug/m3","1.32"
"772","","O3_HD","0.2000","ug/m3","392.64"
"773","","SO2_HD","0.30","ug/m3","0.79"
"788","","CO_HD","3.00","mg/m3","3.49"
"789","","NO2_HD","0.70","ug/m3","1.32"
"790","","O3_HD","0.2000","ug/m3","392.64"
"791","","SO2_HD","0.40","ug/m3","1.05"
"806","","CO_HD","3.00","mg/m3","3.49"
"807","","NO2_HD","0.70","ug/m3","1.32"
"808","","O3_HD","0.2000","ug/m3","392.64"
"809","","SO2_HD","0.30","ug/m3","0.79"
"824","","CO_HD","3.00","mg/m3","3.49"
"825","","NO2_HD","0.70","ug/m3","1.32"
"826","","O3_HD","0.2000","ug/m3","392.64"
"827","","SO2_HD","0.20","ug/m3","0.52"
"842","","CO_HD","6.00","mg/m3","6.99"
"843","","NO2_HD","0.80","ug/m3","1.50"
"844","","O3_HD","0.3000","ug/m3","588.96"
"845","","SO2_HD","0.70","ug/m3","1.83"
"856","","CO_HD","2.00","mg/m3","2.33"
"857","","NO2_HD","0.70","ug/m3","1.32"
"858","","O3_HD","0.3000","ug/m3","588.96"
"859","","SO2_HD","0.30","ug/m3","0.79"
"874","","CO_HD","6.00","mg/m3","6.99"
"875","","NO2_HD","0.70","ug/m3","1.32"
"876","","O3_HD","0.3000","ug/m3","588.96"
"877","","SO2_HD","0.70","ug/m3","1.83"
"892","","CO_HD","11.00","mg/m3","12.81"
"893","","NO2_HD","0.70","ug/m3","1.32"
"894","","O3_HD","0.3000","ug/m3","588.96"
"895","","SO2_HD","0.90","ug/m3","2.36"
"958","","CO_HD","4.00","mg/m3","4.66"
"959","","NO2_HD","0.70","ug/m3","1.32"
"960","","O3_HD","0.3000","ug/m3","588.96"
"961","","SO2_HD","0.40","ug/m3","1.05"
"976","","CO_HD","3.00","mg/m3","3.49"
"977","","NO2_HD","0.60","ug/m3","1.13"
"978","","O3_HD","0.1000","ug/m3","196.32"
"979","","SO2_HD","0.20","ug/m3","0.52"
"994","","CO_HD","3.00","mg/m3","3.49"
"995","","NO2_HD","0.60","ug/m3","1.13"
"996","","O3_HD","0.2000","ug/m3","392.64"
"997","","SO2_HD","0.20","ug/m3","0.52"
"1012","","CO_HD","3.00","mg/m3","3.49"
"1013","","NO2_HD","0.60","ug/m3","1.13"
"1014","","O3_HD","0.2000","ug/m3","392.64"
"1015","","SO2_HD","0.20","ug/m3","0.52"
"1030","","CO_HD","2.00","mg/m3","2.33"
"1031","","NO2_HD","0.70","ug/m3","1.32"
"1032","","O3_HD","0.2000","ug/m3","392.64"
"1033","","SO2_HD","0.20","ug/m3","0.52"
"1063","","CO_HD","3.00","mg/m3","3.49"
"1064","","NO2_HD","0.60","ug/m3","1.13"
"1065","","O3_HD","0.2000","ug/m3","392.64"
"1066","","SO2_HD","0.20","ug/m3","0.52"
"1081","","CO_HD","3.00","mg/m3","3.49"
"1082","","NO2_HD","0.60","ug/m3","1.13"
"1083","","O3_HD","0.2000","ug/m3","392.64"
"1084","","SO2_HD","0.10","ug/m3","0.26"
"1099","","CO_HD","2.00","mg/m3","2.33"
"1100","","NO2_HD","0.60","ug/m3","1.13"
"1101","","O3_HD","0.2000","ug/m3","392.64"
"1102","","SO2_HD","0.10","ug/m3","0.26"
"1117","","CO_HD","1.00","mg/m3","1.16"
"1118","","NO2_HD","0.60","ug/m3","1.13"
"1119","","O3_HD","0.2000","ug/m3","392.64"
"1120","","SO2_HD","0.10","ug/m3","0.26"
"1135","","CO_HD","2.00","mg/m3","2.33"
"1136","","NO2_HD","0.60","ug/m3","1.13"
"1137","","O3_HD","0.2000","ug/m3","392.64"
"1138","","SO2_HD","0.10","ug/m3","0.26"
"1156","","CO_HD","1.00","mg/m3","1.16"
"1157","","NO2_HD","0.60","ug/m3","1.13"
"1158","","O3_HD","0.2000","ug/m3","392.64"
"1159","","SO2_HD","0.10","ug/m3","0.26"
"1174","","CO_HD","0.00","mg/m3","0.00"
"1175","","NO2_HD","0.60","ug/m3","1.13"
"1176","","O3_HD","0.2000","ug/m3","392.64"
"1177","","SO2_HD","0.00","ug/m3","0.00"
"1194","","CO_HD","0.00","mg/m3","0.00"
"1195","","NO2_HD","0.60","ug/m3","1.13"
"1196","","O3_HD","0.2000","ug/m3","392.64"
"1197","","SO2_HD","0.00","ug/m3","0.00"
"1213","","CO_HD","0.00","mg/m3","0.00"
"1214","","NO2_HD","0.70","ug/m3","1.32"
"1215","","O3_HD","0.2000","ug/m3","392.64"
"1216","","SO2_HD","0.00","ug/m3","0.00"
"1232","","CO_HD","0.00","mg/m3","0.00"
"1233","","NO2_HD","0.70","ug/m3","1.32"
"1234","","O3_HD","0.2000","ug/m3","392.64"
"1235","","SO2_HD","0.00","ug/m3","0.00"
"1253","","CO_HD","0.00","mg/m3","0.00"
"1254","","NO2_HD","0.60","ug/m3","1.13"
"1255","","O3_HD","0.2000","ug/m3","392.64"
"1256","","SO2_HD","0.00","ug/m3","0.00"
"1272","","CO_HD","0.00","mg/m3","0.00"
"1273","","NO2_HD","0.60","ug/m3","1.13"
"1274","","O3_HD","0.2000","ug/m3","392.64"
"1275","","SO2_HD","0.00","ug/m3","0.00"
"1291","","CO_HD","0.00","mg/m3","0.00"
"1292","","NO2_HD","0.60","ug/m3","1.13"
"1293","","O3_HD","0.2000","ug/m3","392.64"
"1294","","SO2_HD","0.00","ug/m3","0.00"
"1310","","CO_HD","0.00","mg/m3","0.00"
"1311","","NO2_HD","0.60","ug/m3","1.13"
"1312","","O3_HD","0.2000","ug/m3","392.64"
"1313","","SO2_HD","0.00","ug/m3","0.00"
"1329","","CO_HD","0.00","mg/m3","0.00"
"1330","","NO2_HD","0.60","ug/m3","1.13"
"1331","","O3_HD","0.2000","ug/m3","392.64"
"1332","","SO2_HD","0.00","ug/m3","0.00"
"1403","","CO_HD","0.00","mg/m3","0.00"
"1404","","NO2_HD","0.60","ug/m3","1.13"
"1405","","O3_HD","0.2000","ug/m3","392.64"
"1406","","SO2_HD","0.00","ug/m3","0.00"
